"Name","Symbol","Atomic_Number","Atomic_Weight","Density","Melting_Point","Boiling_Point","Phase","Absolute_Melting_Point","Absolute_Boiling_Point","Critical_Pressure","Critical_Temperature","Heat_of_Fusion","Heat_of_Vaporization","Heat_of_Combustion","Specific_Heat","Adiabatic_Index","Neel_Point","Thermal_Conductivity","Thermal_Expansion","Density_Liquid","Molar_Volume","Brinell_Hardness","Mohs_Hardness","Vickers_Hardness","Bulk_Modulus","Shear_Modulus","Young_Modulus","Poisson_Ratio","Refractive_Index","Speed_of_Sound","Valence","Electronegativity","ElectronAffinity","Autoignition_Point","Flashpoint","DOT_Hazard_Class","DOT_Numbers","EU_Number","NFPA_Fire_Rating","NFPA_Health_Rating","NFPA_Reactivity_Rating","RTECS_Number","Alternate_Names","Block","Group","Period","Electron_Configuration","Color","Gas_phase","CAS_Number","CID_Number","Gmelin_Number","NSC_Number","Electrical_Type","Electrical_Conductivity","Resistivity","Superconducting_Point","Magnetic_Type","Curie_Point","Mass_Magnetic_Susceptibility","Molar_Magnetic_Susceptibility","Volume_Magnetic_Susceptibility","Percent_in_Universe","Percent_in_Sun","Percent_in_Meteorites","Percent_in_Earths_Crust","Percent_in_Oceans","Percent_in_Humans","Atomic_Radius","Covalent_Radius","Van_der_Waals_Radius","Space_Group_Name","Space_Group_Number","HalfLife","Lifetime","Decay_Mode","Quantum_Numbers","Neutron_Cross_Section","Neutron_Mass_Absorption"
,,,,"kg/m^3","K","K",,"K","K","Pa","K","kJ/mol","kJ/mol","","J/(Kg K)",,"","W/(m K)","","",,"","","","","","",,,"m/s",,,"kJ/mol","K","K",,,,,,,,,,,,,,,,,,,,"","",,,"",,,,"%","%","%","%","%","%","m","m","m",,,"","",,,,
,,,,"kg/m^3","K","K",,"K","K","","","kJ/mol","kJ/mol","","J/(Kg K)",,"","W/(m K)","K-1","",,"Pa","Pa","Pa","Pa","Pa","Pa",,,"m/s",,,"kJ/mol","","",,,,,,,,,,,,,,,,,,,,"S/m","m Ω",,,"",,,,"%","%","%","%","%","","m","m","",,,"","",,,,
,,,,"kg/m^3","K","K",,"K","K","Pa","","kJ/mol","kJ/mol","","J/(Kg K)",,"","W/(m K)","K-1","kg/m^3",,"Pa","Pa","","Pa","Pa","Pa",,,"m/s",,,"kJ/mol","","",,,,,,,,,,,,,,,,,,,,"S/m","m Ω",,,"",,,,"%","%","%","%","%","","m","m","m",,,"","",,,,
,,,,"kg/m^3","","K",,"","K","","K","kJ/mol","kJ/mol","","",,"","W/(m K)","","",,"","","","","","",,,"m/s",,,"kJ/mol","","",,,,,,,,,,,,,,,,,,,,"","",,,"",,,,"%","%","","%","%","","m","m","m",,,"","",,,,
,,,,"kg/m^3","K","K",,"K","K","Pa","","kJ/mol","kJ/mol","","J/(Kg K)",,"","W/(m K)","K-1","kg/m^3",,"Pa","Pa","Pa","Pa","Pa","Pa",,,"m/s",,,"kJ/mol","","",,,,,,,,,,,,,,,,,,,,"S/m","m Ω",,,"",,,,"%","%","%","%","%","%","m","m","",,,"","",,,,
,,,,"kg/m^3","K","K",,"K","K","","","kJ/mol","kJ/mol","","J/(Kg K)",,"","W/(m K)","K-1","kg/m^3",,"Pa","Pa","","Pa","Pa","Pa",,,"m/s",,,"kJ/mol","","",,,,,,,,,,,,,,,,,,,,"S/m","m Ω",,,"",,,,"%","%","%","%","%","%","m","m","m",,,"","",,,,
,,,,"kg/m^3","K","K",,"K","K","","K","kJ/mol","kJ/mol","J/(Kg K)","J/(Kg K)",,"","W/(m K)","K-1","kg/m^3",,"","Pa","","Pa","Pa","Pa",,,"m/s",,,"kJ/mol","K","",,,,,,,,,,,,,,,,,,,,"S/m","m Ω",,,"",,,,"%","%","%","%","%","%","m","m","m",,,"","",,,,
,,,,"kg/m^3","K","K",,"K","K","","","kJ/mol","kJ/mol","","J/(Kg K)",,"","W/(m K)","","",,"","","","","","",,,"",,,"kJ/mol","","",,,,,,,,,,,,,,,,,,,,"S/m","m Ω",,,"",,,,"","","","","","","m","m","",,,"s","s",,,,
,,,,"kg/m^3","K","K",,"K","K","","","kJ/mol","kJ/mol","","J/(Kg K)",,"","W/(m K)","K-1","kg/m^3",,"Pa","Pa","","Pa","Pa","Pa",,,"m/s",,,"kJ/mol","","",,,,,,,,,,,,,,,,,,,,"S/m","m Ω",,,"",,,,"%","%","%","%","%","","m","m","",,,"s","s",,,,
,,,,"kg/m^3","K","K",,"K","K","","","kJ/mol","kJ/mol","","J/(Kg K)",,"","W/(m K)","K-1","kg/m^3",,"Pa","Pa","Pa","Pa","Pa","Pa",,,"m/s",,,"kJ/mol","","",,,,,,,,,,,,,,,,,,,,"S/m","m Ω",,,"",,,,"%","%","%","%","%","%","m","m","",,,"","",,,,
,,,,"kg/m^3","K","K",,"K","K","","","kJ/mol","kJ/mol","","J/(Kg K)",,"","W/(m K)","K-1","kg/m^3",,"Pa","Pa","","Pa","Pa","Pa",,,"m/s",,,"kJ/mol","","",,,,,,,,,,,,,,,,,,,,"S/m","m Ω",,,"",,,,"%","%","%","%","%","","m","m","",,,"","",,,,
